unixTime,bid,ask,tradeSize
1499561908,243.81,243.83,5
1499561909,243.81,243.83,5
1499561910,243.81,243.83,5
1499561911,243.81,243.83,5
1499561912,243.81,243.83,5
1499561913,243.81,243.91,5
1499561914,243.81,243.91,5
1499561915,243.82,243.88,5
1499561916,243.82,243.88,5
1499561917,243.82,243.87,5
1499561918,243.82,243.86,5
1499561919,243.81,243.85,5
1499561920,243.81,243.84,5
1499561921,243.81,243.82,5
1499561922,243.81,243.82,5
1499561923,243.81,243.83,5
1499561924,243.81,243.83,5
1499561925,243.81,243.83,5
1499561926,243.81,243.83,5
1499561927,243.81,243.83,5
1499561928,243.83,243.86,5
1499561929,243.82,243.86,5
1499561930,243.82,243.84,5
1499561931,243.81,243.84,5
1499561932,243.82,243.84,5
1499561933,243.82,243.84,5
1499561934,243.82,243.88,5
1499561935,243.82,243.92,5
1499561936,243.82,243.92,5
1499561937,243.82,244,5
1499561938,243.82,244,5
1499561939,243.82,244,5
1499561940,243.82,244,5
1499561941,243.82,244,5
1499561942,243.82,244,5
1499561943,243.82,243.99,5
1499561944,243.82,243.99,5
1499561945,243.82,243.99,5
1499561946,243.82,243.99,5
1499561947,243.82,243.99,5
1499561948,243.82,243.99,5
1499561949,243.81,243.99,5
1499561950,243.82,243.99,5
1499561951,243.82,243.99,5
1499561952,243.82,243.99,5
1499561953,243.82,243.99,5
1499561954,243.82,243.99,5
1499561955,243.82,243.99,5
1499561956,243.82,243.99,5
1499561957,243.82,243.99,5
1499561958,243.81,243.99,5
1499561959,243.81,243.99,5
1499561960,243.81,243.84,5
1499561961,243.81,243.84,5
1499561962,243.82,243.84,5
1499561963,243.82,243.84,5
1499561964,243.82,243.84,5
1499561965,243.82,243.84,5
1499561966,243.82,243.84,5
1499561967,243.82,243.84,5
1499561968,243.82,243.99,5
1499561969,243.82,244,5
1499561970,243.82,244,5
1499561971,243.82,244,5
1499561972,243.82,244,5
1499561973,243.82,244,5
1499561974,243.83,244,5
1499561978,243.82,244,5
1499561979,243.82,244,5
1499561980,243.82,243.99,5
1499561981,243.82,243.99,5
1499561982,243.82,243.99,5
1499561983,243.82,243.99,5
1499561984,243.82,243.99,5
1499561985,243.81,243.99,5
1499561986,243.81,243.99,5
1499561987,243.81,243.99,5
1499561988,243.81,243.99,5
1499561989,243.81,243.98,5
1499561990,243.81,243.97,5
1499561991,243.81,243.95,5
1499561992,243.82,243.95,5
1499561993,243.82,243.94,5
1499561994,243.82,243.93,5
1499561995,243.82,243.91,5
1499561996,243.82,243.91,5
1499561997,243.82,243.89,5
1499561998,243.82,243.88,5
1499561999,243.82,243.87,5
1499562000,243.82,243.87,5
1499562001,243.82,243.84,5
1499562002,243.82,243.83,5
1499562003,243.82,243.83,5
1499562004,243.82,243.83,5
1499562005,243.82,243.83,5
1499562006,243.81,243.83,5
1499562007,243.81,243.83,5
1499562008,243.81,243.83,5
1499562009,243.81,243.83,5
1499562010,243.81,243.83,5
1499562011,243.81,243.83,5
1499562012,243.81,243.83,5
1499562013,243.81,243.83,5
1499562014,243.81,243.83,5
1499562015,243.81,243.83,5
1499562016,243.81,243.83,5
1499562018,243.81,243.99,5
1499562019,243.81,243.98,5
1499562020,243.82,243.97,5
1499562021,243.83,243.97,5
1499562022,243.83,243.97,5
1499562023,243.83,243.96,5
1499562024,243.84,243.96,5
1499562026,243.84,243.94,5
1499562027,243.84,243.94,5
1499562031,243.84,243.95,5
1499562032,243.84,243.94,5
1499562033,243.84,243.93,5
1499562035,243.84,243.92,5
1499562036,243.84,243.92,5
1499562037,243.84,243.92,5
1499562039,243.85,243.92,5
1499562040,243.86,243.92,5
1499562041,243.86,243.91,5
1499562043,243.86,243.9,5
1499562044,243.86,243.9,5
1499562045,243.86,243.89,5
1499562050,243.86,243.88,5
1499562051,243.86,243.88,5
1499562052,243.86,243.88,5
1499562054,243.86,243.87,5
1499562055,243.86,243.87,5
1499562056,243.86,243.88,5
1499562058,243.86,243.87,5
1499562061,243.86,243.87,5
1499562062,243.86,243.87,5
1499562064,243.86,243.87,5
1499562066,243.86,243.87,5
1499562068,243.86,243.87,5
1499562069,243.86,243.87,5
1499562071,243.86,243.87,5
1499562072,243.81,243.87,5
1499562074,243.81,243.87,5
1499562076,243.81,243.87,5
1499562077,243.81,243.98,5
1499562080,243.81,243.97,5
1499562081,243.81,243.95,5
1499562083,243.82,243.94,5
1499562084,243.82,243.94,5
1499562085,243.82,243.94,5
1499562087,243.82,243.92,5
1499562088,243.82,243.89,5
1499562089,243.82,243.91,5
1499562090,243.82,243.9,5
1499562091,243.82,243.89,5
1499562092,243.82,243.87,5
1499562093,243.82,243.86,5
1499562094,243.82,243.84,5
1499562096,243.82,243.83,5
1499562097,243.82,243.83,5
1499562098,243.82,243.83,5
1499562100,243.82,243.83,5
1499562103,243.82,243.83,5
1499562106,243.82,243.83,5
1499562109,243.82,243.83,5
1499562111,243.82,243.83,5
1499562112,243.82,243.83,5
1499562113,243.82,243.83,5
1499562114,243.81,243.83,5
1499562115,243.81,243.869959,5
1499562116,243.81,243.8399959,5
1499562117,243.81,243.82,5
1499562118,243.81,243.82,5
1499562119,243.81,243.83,5
1499562121,243.81,243.83,5
1499562122,243.81,243.83,5
1499562123,243.81,243.83,5
1499562124,243.81,243.83,5
1499562129,243.81,243.8499877,5
1499562130,243.76,243.8499877,5
1499562131,243.77,243.8499877,5
1499562132,243.77,243.82,5
1499562133,243.77,243.82,5
1499562134,243.77,243.82,5
1499562136,243.77,243.81,5
1499562137,243.77,243.8,5
1499562138,243.77,243.78,5
1499562140,243.77,243.79,5
1499562141,243.77,243.78,5
1499562142,243.77,243.78,5
1499562143,243.77,243.78,5
1499562144,243.77,243.78,5
1499562145,243.77,243.78,5
1499562150,243.77,243.78,5
1499562151,243.76,243.78,5
1499562153,243.76,243.819959,5
1499562154,243.76,243.8099754,5
1499562155,243.76,243.8099754,5
1499562157,243.76,243.7999877,5
1499562158,243.76,243.78,5
1499562159,243.76,243.77,5
1499562161,243.76,243.78,5
1499562162,243.76,243.78,5
1499562163,243.76,243.879713,5
1499562165,243.76,243.8498729,5
1499562166,243.76,243.8399098,5
1499562167,243.76,243.8299385,5
1499562168,243.76,243.8299385,5
1499562169,243.76,243.78,5
1499562170,243.76,243.78,5
1499562173,243.76,243.78,5
1499562175,243.76,243.78,5
1499562176,243.76,243.78,5
1499562178,243.76,243.78,5
1499562179,243.76,243.78,5
1499562180,243.76,243.78,5
1499562182,243.7,243.76,5
1499562183,243.7,243.75,5
1499562184,243.7,243.74,5
1499562185,243.7,243.73,5
1499562186,243.7,243.71,5
1499562188,243.7,243.72,5
1499562189,243.7,243.72,5
1499562191,243.7,243.71,5
1499562192,243.7,243.71,5
1499562193,243.7,243.71,5
1499562194,243.7,243.71,5
1499562195,243.7,243.71,5
1499562196,243.7,243.71,5
1499562197,243.7,243.71,5
1499562201,243.7,243.71,5
1499562203,243.56,243.71,5
1499562204,243.56,243.71,5
1499562205,243.56,243.71,5
1499562206,243.54,243.71,5
1499562209,243.54,243.71,5
1499562210,243.54,243.71,5
1499562212,243.54,243.7,5
1499562213,243.54,243.7,5
1499562214,243.55,243.69,5
1499562215,243.56,243.68,5
1499562216,243.57,243.66,5
1499562217,243.57,243.65,5
1499562218,243.57,243.65,5
1499562219,243.57,243.63,5
1499562220,243.57,243.62,5
1499562221,243.57,243.62,5
1499562222,243.57,243.61,5
1499562223,243.57,243.61,5
1499562224,243.57,243.61,5
1499562226,243.57,243.6,5
1499562227,243.57,243.6,5
1499562229,243.57,243.59,5
1499562230,243.57,243.58,5
1499562233,243.57,243.58,5
1499562235,243.57,243.67,5
1499562237,243.57,243.66,5
1499562239,243.57,243.65,5
1499562244,243.57,243.64,5
1499562245,243.57,243.63,5
1499562246,243.57,243.63,5
1499562252,243.57,243.62,5
1499562253,243.57,243.62,5
1499562254,243.57,243.61,5
1499562263,243.57,243.6,5
1499562264,243.57,243.59,5
1499562266,243.57,243.58,5
1499562267,243.57,243.58,5
1499562268,243.57,243.58,5
1499562269,243.57,243.58,5
1499562270,243.54,243.58,5
1499562271,241.93,243.58,5
1499562272,242,243.58,5
1499562273,242.1029874,243.58,5
1499562274,242.1400398,243.58,5
1499562275,242.1800386,243.58,5
1499562276,242.2000381,243.58,5
1499562277,242.2100378,243.58,5
1499562278,242.2200375,243.58,5
1499562279,242.240037,243.58,5
1499562280,242.2600364,243.58,5
1499562281,242.2600364,243.58,5
1499562282,242.2800359,243.58,5
1499562283,242.310035,243.62,5
1499562284,242.3200348,243.62,5
1499562285,242.3600336,243.59,5
1499562286,242.3800331,243.59,5
1499562287,242.4000325,243.6,5
1499562288,242.4000325,243.6,5
1499562289,242.420032,243.6,5
1499562290,242.4400314,243.59,5
1499562291,242.4400314,243.58,5
1499562292,242.4500311,243.58,5
1499562293,242.4800303,243.58,5
1499562294,242.4800303,243.58,5
1499562295,242.5000297,243.58,5
1499562296,242.5200292,243.58,5
1499562297,242.5200292,243.58,5
1499562298,242.5400286,243.58,5
1499562299,242.5400286,243.58,5
1499562300,242.5600281,243.58,5
1499562301,242.5800275,243.58,5
1499562302,242.5800275,243.58,5
1499562303,242.600027,243.58,5
1499562304,242.600027,243.58,5
1499562305,242.6200264,243.58,5
1499562306,242.6400259,243.58,5
1499562307,242.6400259,243.58,5
1499562308,242.6600253,243.58,5
1499562309,242.6600253,243.58,5
1499562310,242.6600253,243.58,5
1499562311,242.6800247,243.58,5
1499562312,242.6900245,243.58,5
1499562313,242.7200236,243.58,5
1499562314,242.7200236,243.58,5
1499562315,242.7400231,243.58,5
1499562316,242.780022,243.58,5
1499562317,242.8000214,243.58,5
1499562318,242.8200209,243.58,5
1499562319,242.8200209,243.58,5
1499562320,242.8400203,243.58,5
1499562321,242.8600197,243.58,5
1499562322,242.8600197,243.58,5
1499562323,242.8800192,243.63,5
1499562324,242.8900189,243.62,5
1499562325,242.9000186,243.6,5
1499562326,242.9200181,243.6,5
1499562327,242.9200181,243.58,5
1499562328,242.960017,243.58,5
1499562329,242.960017,243.59,5
1499562330,242.9800164,243.59,5
1499562331,243.0200153,243.58,5
1499562332,243.0200153,243.58,5
1499562333,243.0400147,243.58,5
1499562334,243.0400147,243.58,5
1499562335,243.0600142,243.58,5
1499562336,243.0700139,243.58,5
1499562337,243.0800136,243.58,5
1499562338,243.1000131,243.58,5
1499562339,243.1000131,243.58,5
1499562340,243.1200125,243.58,5
1499562341,243.1300122,243.58,5
1499562342,243.1600114,243.58,5
1499562343,243.1800108,243.58,5
1499562344,243.1800108,243.58,5
1499562345,243.1800108,243.58,5
1499562346,243.2000103,243.58,5
1499562347,243.2000103,243.58,5
1499562348,243.2200097,243.58,5
1499562349,243.2400092,243.58,5
1499562350,243.2400092,243.58,5
1499562351,243.2400092,243.58,5
1499562352,243.2400092,243.58,5
1499562353,243.2400092,243.58,5
1499562354,243.2400092,243.58,5
1499562355,243.2400092,243.58,5
1499562356,243.2400092,243.58,5
1499562357,243.2400092,243.58,5
1499562358,243.2400092,243.58,5
1499562359,243.2400092,243.58,5
1499562360,243.2400092,243.58,5
1499562361,243.2400092,243.58,5
1499562362,243.2400092,243.58,5
1499562363,243.2400092,243.58,5
1499562364,243.2400092,243.58,5
1499562365,243.2400092,243.58,5
1499562366,243.2400092,243.58,5
1499562367,243.2400092,243.58,5
1499562368,243.2400092,243.58,5
1499562369,243.2400092,243.58,5
1499562370,243.2400092,243.58,5
